Concepto ,"""Definicion"""
Sugerencias de actividades de aprendizaje realizar ,"""análisis pro- fundo que hace cada individuo acerca del texto leído, con la  finalidad de llegar a conclusiones impregnando sus conoci- mientos e historia personal."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema, pero esta no tiene una jerarquía definida."""
Sócrates por ejemplo ,"""y los propios límites:."""
Importante ,"""hecho naturalmente dado,  sino que uno mismo lo construye y delimita."""
Psicología ,"""ciencia fáctica o empírica, que participa de tres mundos:."""
Tesis mental ,"""tesis funda- mental para el pensamiento cartesiano."""
Parte john locke ,"""de los iniciadores de la tradición empirista británica."""
Locke ,"""paso preciso y  necesario para limpiar el camino antes de sentar los funda- mentos del conocimiento."""
Cuestión ,"""pesador materialista y mecanicista."""
Autor ,"""fisiólogo y,  como tal, estudia pormenorizadamente los órganos sensoria- les y el sistema nervioso en general."""
Pierre flourens ,"""estudioso de la fisiología cerebral, en sus es- critos se apoya en el pensamiento de Descartes y establecer  la fisiología científica del cerebro."""
Cuarto ,"""experiencia inmediata, no está ""mediada""."""
Forma ,"""forma específicamente humana de los fenó- menos psicológicos y que la comprensión de ella exige el re- conocimiento de su carácter histórico y social."""
Proceso ,"""proceso específicamente humano que permite  controlar y regular la conducta."""
Conciencia determinada ,"""objeto sino un proceso y, por tanto, debe recurrir  a los métodos del materialismo dialéctico."""
Inconsciente descubierto freud ,"""inconsciente  dinámico, es decir, sus impulsos ejercen una presión constante  por salir al campo de la conciencia y de la acción, se encuen- tra en una lucha permanente contra la censura; gran parte de  nuestras acciones son consecuencia y efecto de esos deseos  reprimidos; Freud en sus estudios estableció el principio de  que el sueño es la realización enmascarada de los deseos e im- pulsos reprimidos."""
Freud ,"""búsqueda del placer (libido), se transfiere a diversas zonas erógenas, que son áreas sensoriales de placer sensual y erótico del cuerpo."""
Jung ,"""prueba del progreso de la civilización."""
